# Title: BLAST: The Mass Function, Lifetimes, and Properties of Intermediate 
#        Mass Cores from a 50 Square Degree Submillimeter Galactic Survey 
#        in Vela (l ~ 265 degrees) 
# Authors: Netterfield C.B., Ade P.A.R., Bock J.J., Chapin E.L., Devlin M.J., 
#          Griffin M., Gundersen J.O., Halpern M., Hargrave P.C., Hughes D.H., 
#          Klein J., Marsden G., Martin P.G., Mauskopf P., Olmi L., Pascale E., 
#          Patanchon G., Rex M., Roy A., Scott D., Semisch C., Thomas N., 
#          Truch M.D.P., Tucker C., Tucker G.S., Viero M.P., Wiebe D.V. 
# Table: BLAST Vela Sources Measured Properties
# ================================================================================
# Byte-by-byte Description of file: apj314789t1_mrt.txt
# --------------------------------------------------------------------------------
#    Bytes Format Units    Label    Explanations
# --------------------------------------------------------------------------------
#    1- 20 A20    ---      Name     Source name  
#   22- 29 F8.4   deg      GLON     Galactic longitude
#   31- 37 F7.4   deg      GLAT     Galactic latitude
#   39- 44 F6.1   Jy       F250     Flux density at 250 microns
#   46- 50 F5.1   Jy     e_F250     Uncertainty in F250  
#   52- 57 F6.1   Jy       F350     Flux density at 350 microns
#   59- 63 F5.1   Jy     e_F350     Uncertainty in F350  
#   65- 69 F5.1   Jy       F500     Flux density at 500 microns
#   71- 75 F5.1   Jy     e_F500     Uncertainty in F500  
#   77- 80 F4.1   arcsec   FWHM250  Full-Width at Half-Maximum at 250 microns
# --------------------------------------------------------------------------------
BLAST J083512-404528 259.9986 -0.1588    8.9   1.2    6.1   0.9   2.8   0.6 50.3 
BLAST J083524-404027 259.9553 -0.0774   66.3   9.6   24.0   6.7   7.1   4.4 72.5 
BLAST J083528-404129 259.9762 -0.0780   42.0   6.6   13.3   4.8   3.3   3.4 72.2 
BLAST J083530-403819 259.9378 -0.0414  280.5  28.8  118.9  15.2  43.4   7.0 42.1 
BLAST J083547-420809 261.1670 -0.8979   62.3   6.4   30.6   4.0  13.8   2.2 48.1 
BLAST J083604-420049 261.1010 -0.7823    9.3   1.6    4.1   1.3   1.3   1.0 61.8 
BLAST J083606-410224 260.3271 -0.1914    9.4   1.2    7.0   1.0   3.6   0.6 54.6 
BLAST J083607-404415 260.0865 -0.0083   22.3   3.3   12.6   2.5   5.1   1.6 71.7 
BLAST J083627-420941 261.2604 -0.8162   15.4   1.9    8.1   1.4   3.4   0.9 72.4 
BLAST J083629-430008 261.9364 -1.3166    8.3   1.5    7.0   1.3   3.1   0.9 55.1 
BLAST J083645-404652 260.1931  0.0604    9.9   1.1    5.9   0.8   2.3   0.4 53.4 
BLAST J083645-404550 260.1798  0.0718   14.2   1.6    8.0   1.1   3.2   0.6 59.7 
BLAST J083730-404328 260.2339  0.2083   12.7   1.5    7.2   1.1   3.1   0.7 57.0 
BLAST J083743-415617 261.2244 -0.4940    9.1   1.1    6.8   1.0   3.3   0.6 59.4 
BLAST J083801-411816 260.7552 -0.0645    8.9   1.3    6.7   1.2   3.1   0.7 61.7 
BLAST J083814-424921 261.9869 -0.9529   16.9   1.9   10.7   1.5   5.3   0.9 63.4 
