# Documentation for CSBF data from test flight: 
# - 598N_back.txt: ascii; some header information then 8 columns with self
# explanatory column headings
# - 598N.txt: ascii; formatted for simpler reading into IDL; 12 columns; 
# First three columns correspond to the time column of the previous
# file, Longitude and latitude columns from previous file also separated
# to 4 columns; glitch removed from data.  
#
#  Column 0 = UT time (decimal hours); 
#  Column 1 = Local time (decimal hours); 
#  Column 2 = barometric altitude (ft)
#  Column 3 = MBS (don't know )
#  Column 4 = Air temp (C)
#  Column 5 = radiation temperate (C)
#  Column 6 = Latitude (Decimal degrees)
#  Column 7 = Longitude (Decimal degrees)
#  Column 8 = GPS altitude (m)
#
#4 12 812
# CIP DATA FLIGHT REPORT:
#  FLIGHT:  598N Science Group: HANANY/EBEX
#  DATE:  11-JUN-2009
#  TIME   BAR ALT    MBS     AIRT   DRAD      LAT      LON     GPS ALT
 14 01 51   4409.  872.28    18.2   29.1    34 29.4 -104 13.1   1254.
 14 02 51   5504.  836.21    20.3   27.8    34 29.3 -104 13.1   1584.
 14 03 51   6687.  798.62    19.1   27.0    34 29.3 -104 12.9   1972.
 14 04 51   7754.  765.92    16.0   27.0    34 29.2 -104 12.7   2362.
 14 05 51   8944.  730.77    11.9   26.6    34 29.2 -104 12.6   2772.
 14 06 51  10138.  696.85     8.1   26.1    34 29.2 -104 12.3   3169.
 14 07 51  11519.  659.25     4.8   24.5    34 29.3 -104 11.9   3567.
 14 08 51  12608.  630.83     1.2   22.3    34 29.3 -104 11.4   3965.
 14 09 52  13713.  603.02    -1.3   20.1    34 29.5 -104 10.9   4350.
 14 10 52  14657.  580.09    -1.4   18.8    34 29.7 -104 10.4   4677.
 14 11 52  15541.  559.31    -2.0   16.8    34 29.9 -104 09.9   4968.
 14 12 52  16712.  532.72    -3.3   16.2    34 30.0 -104 09.3   5249.
 14 13 52  17267.  520.50    -5.2   15.3    34 30.3 -104 08.8   5532.
 14 14 52  18456.  495.13    -7.6   15.0    34 30.5 -104 08.2   5836.
 14 15 52  19273.  478.32    -8.1   14.4    34 30.8 -104 07.5   6139.
 14 16 52  20115.  461.51   -12.6   13.3    34 31.0 -104 06.8   6468.
 14 17 52  21502.  434.92   -15.6   11.9    34 31.2 -104 06.0   6796.
 14 18 52  22048.  424.83   -18.1   10.1    34 31.5 -104 05.2   7114.
 14 19 52  23541.  398.24   -18.7    8.3    34 31.8 -104 04.2   7407.
 14 20 52  24622.  379.91   -20.9    7.1    34 32.1 -104 03.1   7724.
 14 21 52  25673.  362.79   -23.2    6.0    34 32.4 -104 02.1   7995.
 14 22 52  25731.  361.87   -26.1    4.9    34 32.6 -104 01.0   8304.
 14 23 52  26669.  347.20   -27.0    4.0    34 32.8 -103 60.0   8619.
 14 24 52  27996.  327.34   -28.9    3.6    34 33.1 -103 58.9   8936.
 14 25 52  29823.  301.66   -32.5    3.0    34 33.3 -103 57.8   9246.
 14 26 52  30929.  286.99   -34.4    1.6    34 33.6 -103 56.6   9559.
 14 27 52  32038.  272.93   -35.2    0.0    34 33.9 -103 55.4   9867.
 14 28 52  32763.  264.07   -37.6   -1.1    34 34.1 -103 54.1  10190.
 14 29 52  32662.  265.29   -41.9   -2.0    34 34.4 -103 52.9  10522.
 14 30 52  35390.  234.12   -43.0   -3.0    34 34.6 -103 51.6  10860.
 14 31 53  34747.  241.15   -46.5   -3.4    34 34.9 -103 50.3  11187.
 14 32 53  37742.  209.97   -49.9   -3.9    34 35.2 -103 49.0  11517.
 14 33 53  37492.  212.42   -53.4   -5.3    34 35.5 -103 47.7  11857.
 14 34 53  38376.  203.86   -51.4   -7.2    34 35.8 -103 46.3  12194.
 14 35 53  39394.  194.39   -53.5   -8.2    34 36.0 -103 44.9  12533.
 14 36 53  40111.  187.97   -57.8   -8.5    34 36.3 -103 43.4  12845.
 14 37 53  42330.  169.32   -61.0   -9.3    34 36.6 -103 41.9  13122.
 14 38 53  43505.  160.16   -62.4  -10.3    34 36.8 -103 40.3  13355.
 14 39 53  43788.  158.02   -60.1  -11.2    34 37.0 -103 38.8  13567.
 14 40 53  44746.  150.99   -62.7  -11.5    34 37.1 -103 37.2  13715.
 14 41 53  44704.  151.29   -62.9  -10.4    34 37.2 -103 35.8  13831.
 14 42 53  45703.  144.26   -62.4   -8.9    34 37.4 -103 34.5  13970.
 14 43 53  46106.  141.51   -62.9   -7.2    34 37.5 -103 33.2  14171.
 14 44 53  47267.  133.87   -63.8   -5.9    34 37.6 -103 32.0  14379.
 14 45 53  47847.  130.20   -63.9   -4.7    34 37.6 -103 30.9  14520.
 14 46 53  48292.  127.45   -63.4   -3.3    34 37.7 -103 29.8  14634.
 14 47 53  49210.  121.95   -63.1   -2.7    34 37.8 -103 28.9  14850.
 14 48 53  49210.  121.95   -61.8   -2.5    34 38.0 -103 28.0  15056.
 14 49 53  49473.  120.42   -63.8   -2.1    34 38.2 -103 27.3  15192.
 14 50 53  50444.  114.92   -62.5   -3.2    34 38.3 -103 26.5  15315.
 14 51 53  51461.  109.42   -63.2   -4.8    34 38.5 -103 25.7  15493.
 14 52 53  52167.  105.75   -63.9   -6.6    34 38.7 -103 25.0  15674.
 14 53 53  52895.  102.09   -64.8   -8.1    34 38.7 -103 24.3  15854.
 14 54 54  52772.  102.70   -63.4   -8.5    34 38.8 -103 23.7  16041.
 14 55 54  52283.  105.16   -64.3   -7.6    34 38.9 -103 23.3  16231.
 14 56 54  52865.  102.24   -62.0   -6.1    34 39.1 -103 23.0  16402.
 14 57 54  53314.  100.04   -61.6   -5.5    34 39.5 -103 22.6  16541.
 14 58 54  53829.   97.58   -63.1   -5.9    34 39.8 -103 22.2  16687.
 14 59 54  54371.   95.05   -63.7   -7.0    34 40.2 -103 21.5  16850.
 15 00 54  54992.   92.23   -63.8   -7.9    34 40.4 -103 20.8  17037.
 15 01 54  55529.   89.86   -65.0   -8.9    34 40.6 -103 20.1  17193.
 15 02 54  56148.   87.20   -63.0   -9.5    34 40.6 -103 19.6  17364.
 15 03 54  56873.   84.18   -59.2   -8.5    34 40.7 -103 19.1  17576.
 15 04 54  57401.   82.05   -66.1   -8.5    34 40.7 -103 18.8  17744.
 15 05 54  57849.   80.28   -63.1   -9.1    34 40.6 -103 18.6  17866.
 15 06 54  58587.   77.45   -59.6   -7.9    34 40.7 -103 18.6  18071.
 15 07 54  59433.   74.33   -60.4   -6.9    34 40.8 -103 18.6  18335.
 15 08 54  59936.   72.53   -60.9   -6.4    34 40.9 -103 18.6  18485.
 15 09 54  60059.   72.10   -65.4   -6.6    34 41.1 -103 18.5  18527.
 15 10 54  60133.   71.84   -63.2   -7.3    34 41.3 -103 18.4  18544.
 15 11 54  60852.   69.37   -59.3   -8.2    34 41.5 -103 18.3  18737.
 15 12 54  61532.   67.11   -62.5   -8.5    34 41.8 -103 18.2  18948.
 15 13 54  61563.   67.01   -62.5   -9.2    34 41.9 -103 18.1  18968.
 15 14 54  61624.   66.81   -61.5  -10.0    34 42.1 -103 17.9  18976.
 15 15 54  62373.   64.42   -56.8  -10.0    34 42.2 -103 17.8  19178.
 15 16 54  63296.   61.59   -58.0   -9.8    34 42.2 -103 17.8  19462.
 15 17 55  64029.   59.43   -54.8   -8.5    34 42.1 -103 17.9  19690.
 15 18 55  64665.   57.62   -56.0   -6.1    34 42.1 -103 18.0  19893.
 15 19 55  65174.   56.21   -59.5   -4.9    34 42.1 -103 18.1  20049.
 15 20 55  65885.   54.30   -51.5   -4.5    34 42.1 -103 18.4  20248.
 15 21 55  66696.   52.20   -54.7   -3.5    34 42.3 -103 18.6  20500.
 15 22 55  67529.   50.13   -58.6   -3.4    34 42.5 -103 18.7  20745.
 15 23 55  68142.   48.66   -59.0   -3.5    34 42.6 -103 18.7  20926.
 15 24 55  68423.   48.00   -53.5   -4.1    34 42.6 -103 18.7  21012.
 15 25 55  68923.   46.85   -55.9   -4.1    34 42.7 -103 18.7  21164.
 15 26 55  69671.   45.18   -56.9   -4.1    34 42.8 -103 18.6  21380.
 15 27 55  70297.   43.83   -57.3   -4.1    34 42.7 -103 18.5  21569.
 15 28 55  70439.   43.53   -57.3   -3.4    34 42.5 -103 18.5  21617.
 15 29 55  70720.   42.94   -55.4   -3.0    34 42.3 -103 18.5  21688.
 15 30 55  71490.   41.37   -52.7   -2.5    34 42.1 -103 18.7  21926.
 15 31 55  72295.   39.79   -51.6   -0.6    34 41.9 -103 19.1  22160.
 15 32 55  72934.   38.58   -50.0    1.1    34 41.8 -103 19.4  22366.
 15 33 55  73600.   37.36   -43.2    2.3    34 41.7 -103 19.7  22557.
 15 34 55  74323.   36.08   -49.4    1.9    34 41.5 -103 20.1  22777.
 15 35 55  75072.   34.80   -52.1    1.3    34 41.5 -103 20.6  23000.
 15 36 55  75568.   33.98   -52.0    1.1    34 41.5 -103 20.9  23152.
 15 37 55  75994.   33.29   -47.9    1.1    34 41.5 -103 21.3  23277.
 15 38 55  76347.   32.73   -47.8    0.9    34 41.6 -103 21.7  23384.
 15 39 56  76791.   32.04   -49.7    1.3    34 41.7 -103 22.0  23517.
 15 40 56  77486.   30.99   -40.4    1.5    34 41.7 -103 22.3  23727.
 15 41 56  78436.   29.61   -40.5    1.7    34 41.7 -103 22.6  23997.
 15 42 56  79434.   28.23   -45.7    2.3    34 41.7 -103 22.9  24283.
 15 43 56  80021.   27.45   -47.5    2.3    34 41.9 -103 23.2  24486.
 15 44 56  80689.   26.59   -41.8    2.5    34 42.0 -103 23.4  24678.
 15 45 56  81241.   25.90   -45.2    2.5    34 42.2 -103 23.7  24848.
 15 46 56  81808.   25.21   -45.4    2.5    34 42.3 -103 23.9  25011.
 15 47 56  82136.   24.82   -48.2    2.5    34 42.5 -103 24.0  25096.
 15 48 56  82704.   24.16   -46.8    2.7    34 42.6 -103 24.2  25261.
 15 49 56  83279.   23.51   -42.0    3.1    34 42.6 -103 24.4  25431.
 15 50 56  83881.   22.85   -41.6    3.3    34 42.7 -103 24.7  25608.
 15 51 56  84558.   22.13   -39.5    3.5    34 42.8 -103 24.9  25811.
 15 52 56  85042.   21.63   -36.9    4.4    34 43.0 -103 25.0  25961.
 15 53 56  85397.   21.27   -37.7    4.8    34 43.1 -103 25.2  26059.
 15 54 56  86097.   20.58   -40.1    5.2    34 43.1 -103 25.4  26266.
 15 55 56  87027.   19.70   -36.7    5.7    34 43.1 -103 25.8  26527.
 15 56 56  87899.   18.91   -38.2    5.7    34 43.1 -103 26.1  26783.
 15 57 56  88576.   18.32   -39.4    6.1    34 43.2 -103 26.3  26988.
 15 58 56  89277.   17.73   -33.0    6.4    34 43.3 -103 26.6  27171.
 15 59 56  89927.   17.20   -33.2    6.6    34 43.4 -103 26.9  27372.
 16 00 56  90586.   16.68   -34.7    7.1    34 43.5 -103 27.3  27559.
 16 01 56  90976.   16.38   -36.0    7.5    34 43.6 -103 27.6  27686.
 16 02 57  91495.   15.99   -35.2    8.0    34 43.7 -103 27.9  27837.
 16 03 57  92264.   15.43   -33.9    8.5    34 43.7 -103 28.3  28051.
 16 04 57  92918.   14.97   -35.3    8.5    34 43.8 -103 28.8  28242.
 16 05 57  93504.   14.57   -35.7    8.7    34 43.9 -103 29.3  28374.
 16 06 57  93985.   14.25   -35.6    9.0    34 43.9 -103 29.8  28541.
 16 07 57  94856.   13.69   -31.5    9.5    34 44.0 -103 30.3  28779.
 16 08 57  95931.   13.03   -31.0    9.7    34 44.1 -103 30.8  29059.
 16 09 57  96716.   12.57   -33.5    9.7    34 44.3 -103 31.3  29288.
 16 10 57  97120.   12.34   -39.4   10.2    34 44.4 -103 31.8  29406.
 16 11 57  97227.   12.28   -39.3   10.5    34 44.5 -103 32.4  29458.
 16 12 57  97586.   12.08   -37.5   10.8    34 44.6 -103 32.9  29548.
 16 13 57  98138.   11.78   -27.8   11.0    34 44.7 -103 33.4  29704.
 16 14 57  98877.   11.39   -31.1   11.6    34 44.7 -103 34.0  29889.
 16 15 57  99326.   11.16   -31.8   11.8    34 44.8 -103 34.6  30041.
 16 16 57  99846.   10.90   -33.4   12.1    34 44.9 -103 35.2  30160.
 16 17 57 100400.   10.63   -25.6   12.6    34 45.0 -103 35.7  30320.
 16 18 57 101291.   10.21   -28.1   12.9    34 45.1 -103 36.3  30541.
 16 19 57  98974.   11.34   -34.7   13.2    34 45.2 -103 37.0  30760.
 16 20 57  99465.   11.09   -35.8   13.2    34 45.3 -103 37.6  30917.
 16 21 57  99805.   10.92   -36.8   13.8    34 45.3 -103 38.3  31031.
 16 22 57  99907.   10.87   -35.3   14.1    34 45.3 -103 39.1  31068.
 16 23 57 100111.   10.77   -28.7   14.1    34 45.3 -103 39.8  31127.
 16 24 58 100819.   10.43   -29.7   14.3    34 45.4 -103 40.6  31356.
 16 25 58 101487.   10.12   -25.5   14.1    34 45.4 -103 41.3  31566.
 16 26 58 101531.   10.10   -31.5   14.1    34 45.5 -103 42.0  31593.
 16 27 58 101422.   10.15   -30.8   14.4    34 45.6 -103 42.7  31559.
 16 28 58 101708.   10.02   -27.8   14.6    34 45.6 -103 43.4  31648.
 16 29 58 102497.    9.67   -24.0   14.9    34 45.6 -103 44.1  31879.
 16 30 58 103510.    9.24   -24.6   14.6    34 45.6 -103 44.9  32193.
