Name           Lat(ddmmss)  E Lon(ddmmss)  
McMurdo Sound: -77 30 00    165 00 00
EBEX NA      : +34 30 00   -113 00 00
Ft. Sumner   : +34 28 00   -104 14 00
CBI          : -23 02 00   -67  47 00
Kiruna       : +67 49 00    20  20 00
Toronto      : +43 39 10   -79  23 00
Karlsborg    : +58 32 00    14  32 00
Alice Springs: -23 42 00    133 52 00
Mauna Kea    : +19 50 00   -155 28 00
Greenbank    : +38 25 59   -79  50 23
IRAM 30m     : +37 03 58   -3   23 34
Effelsberg   : +50 31 30    6   53 00   
SEST 15m     : -29 15 34   -70  44 04
Onsala 20m   : +57 23 45    11  55 35   
Arecibo      : +18 21 14   -66  45 19 
Fairbanks    : +64 48 00   -147 42 00
Teida        : +28 18 00   +16  30 35   
END
