#Maxipol availability table for NA flight
#RA: 14:50:43. DEC: 74:9:42

Month   Day   Start   End     Start    End
5       21    0.0000  4.9667  20.7667  -1.0
5       22    0.0000  2.8500  20.7833  -1.0
5       23    0.0000  3.4167  20.8000  -1.0
5       24    0.0000  4.1000  21.2000  -1.0
5       25    0.0000  4.9333  22.3667  -1.0
5       26    0.0000  4.9167  23.3833  -1.0
5       27    0.0000  4.9000  -1.0     -1.0  
5       28    0.2000  4.9000  -1.0     -1.0
5       29    0.8667  4.8833  -1.0     -1.0
5       30    1.4167  4.8833  -1.0     -1.0
5       31    1.9167  4.8667  -1.0     -1.0
6       1     2.3833  4.8667  -1.0     -1.0
6       2     2.8667  4.8667  -1.0     -1.0 
6       3     0.0000  4.8500  20.9333  -1.0
6       4     0.0000  4.8500  20.9500  -1.0
6       5     0.0000  4.8333  20.9667  -1.0 
6       6     0.0000  4.8333  20.9667  -1.0
6       7     0.0000  4.8333  20.9833  -1.0
