# C.Bao
# Starting from May 10th at Ft Sumner Lat = 34.467, Lon = -104.233, time zone = -6 (CDT considered)
# All time given in local time in hr
# Horizon = -10 deg in elevation
# time = -1 means not available during such day
# dark night: 0 = no, 1 = yes, May 17th and May 31st are the two half moon days,May 14 new moon
#
#
#Day     Sun_Rise   Sun_Set   Moon_Rise  Moon_Set   Saturn_R_20  Saturn_R_60  Stn_S_60  Saturn_S_20  Jupiter_R_20  Jupiter_S_20  Dark_Night
1        5.1333     20.6167   20.3000    7.1833     16.0833      19.8000      21.8333   1.6000       4.0167        11.1167       0 
2        5.1167     20.6167   21.2167    7.9500     16.0167      19.7333      21.7667   1.5333       3.9500        11.0500       0
3        5.1000     20.6333   22.0500    8.8000     15.9500      19.6667      21.7000   1.4667       3.9000        11.0000       0
4        5.0833     20.6500   22.8000    9.7000     15.8833      19.6000      21.6333   1.4000       3.8333        10.9500       0
5        5.0667     20.6667   23.4500    10.6167    15.8167      19.5333      21.5667   1.3333       3.7667        10.8833       0
6        5.0500     20.6833   -1.0000    11.5667    15.7500      19.4667      21.5000   1.2667       3.7167        10.8333       0 
7        5.0333     20.7000   0.0333     12.5000    15.6833      19.4000      21.4333   1.2000       3.6500        10.7667       0
8        5.0167     20.7167   0.5500     13.4333    15.6167      19.3333      21.3667   1.1333       3.5833        10.7167       1
9        5.0167     20.7333   1.0167     14.4000    15.5500      19.2667      21.3000   1.0667       3.5167        10.6500       1
10       5.0000     20.7500   1.4500     15.3833    15.5000      19.2000      21.2333   1.0000       3.4667        10.6000       1
11       4.9833     20.7667   1.9000     16.4167    15.4333      19.1500      21.1667   0.9333       3.4000        10.5333       1
12       4.9667     20.7667   2.3500     17.5167    15.3667      19.0833      21.1167   0.8667       3.3333        10.4833       1
13       4.9667     20.7833   2.8500     18.7000    15.3000      19.0167      21.0500   0.8000       3.2833        10.4167       1
14       4.9500     20.8000   3.3167     19.9500    15.2333      18.9500      20.9833   0.7667       3.2167        10.3667       1
15       4.9333     20.8167   4.1000     21.2000    15.1667      18.8833      20.9167   0.7000       3.1500        10.3000       1
16       4.9333     20.8333   4.9667     22.3667    15.1000      18.8167      20.8500   0.6333       3.0833        10.2500       1
17       4.9167     20.8500   6.0167     23.3833    15.0333      18.7500      20.7833   0.5667       3.0333        10.1833       1
18       4.9000     20.8500   7.2167     -1.0000    14.9833      18.7000      20.7167   0.4833       2.9667        10.1167       1
19       4.9000     20.8667   8.5000     0.2000     14.9167      18.6333      20.6500   0.4167       2.9000        10.0667       1
20       4.8833     20.8833   9.7667     0.8667     14.8500      18.5667      20.5833   0.3667       2.8333        10.0000       1
21       4.8833     20.9000   10.9667    1.4167     14.7833      18.5000      20.5167   0.3000       2.7833        9.9333        1
22       4.8667     20.9000   12.0833    1.9167     14.7167      18.4500      20.4500   0.2333       2.7167        9.8833        1
23       4.8667     20.9167   13.1667    2.3833     14.6500      18.3833      20.3833   0.1667       2.6500        9.8167        1
