MAY|0 |1 |2 |3 |4 |5 |6 |7 |8 |9 |10|11|12|13|14|15|16|17|18|19|20|21|22|23| LT
   |  | d|d |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | D|D |  |    Dipole starts crossing galaxy (d). Dipole maximum (D) 
17 |SS|S |  |  |  |  |  |  |  |  |  |  |  |  |  | S|SS|SS|SS|S |  |SS|SS|SS|    C = Cas A.
   |  |  |  | C|CC|  |  |  |  |  | c|  |  |  |  |  |  |  |  |  |  |  |  |  |  
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
18 |SS|S |  |  |  |  |  |  |  |  |  |  |  |  |  | S|SS|SS|SS|S |  |SS|SS|SS|    
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
   | G|G |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |    GP avail 00:30-01:15 (moon rise) Dec ~ 20
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
19 |SS|S |  |  |  |  |  |  |  |  |  |  |  |  |  | S|SS|SS|SS|S |  |SS|SS|SS|    
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
   | G|GG|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |    GP avail 00:30-01:40 (moon rise) Dec ~ 20  
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
20 |SS|  |  |  |  |  |  |  |  |  |  |  |  |  |  |SS|SS|SS|SS|S |  |SS|SS|SS|    
   |  | C|CC|  |  |  |  |  |  |  | c|cc|  |  |  |  |  |  |  |  |  |  |  |  |  
   |GG|GG|  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |    GP avail 00:25-02:00 (moon rise) Dec ~ 20  
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
21 |SS|  |  |  |  |  |  |  |  |  |  |  |  |  |  |SS|SS|SS|SS|S |  |SS|SS|SS|  
   | C|C |  |  |  |  |  |  |  |  | c|cc|  |  |  |  |  |  |  |  |  |  |  |  |  
   |GG|GG|G |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |    GP avail 00:20-02:30 (moon rise) Dec ~ 20  
   |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  
22 |SS|  |  |  |  |  |  |  |  |  |  |  |  |  |  |SS|SS|SS|SS|S |  |SS|SS|SS|  
   |  |CC|CC|  |  |  |  |  |  |  | c|cc|c |  |  |  |  |  |  |  |  |  |  |  |  
